prefecture,capital,population,local_specialty,area
北海道,札幌市,5320,じゃがいも、小麦、たまねぎ、かぶ（大野紅かぶ）、乳製品、鱈、鮭、ししゃも、ラワンぶき（足寄町）、ガラナ,83424 
青森県,青森市,1278,りんご、にんにく、食用菊、ひめます、ホタテガイ、するめいか、さば、ほや、めかぶとろろ、ばっけ味噌（ふきのとう味噌）,9646 
岩手県,盛岡市,1255,りんご、干し椎茸、二子の里芋、養殖わかめ、鮭、うに、サメ、さんま、するめいか、鶏肉、めかぶとろろ、トシロ,15275 
宮城県,仙台市,2323,茗荷茸、セリ、サメ、かじき、マグロ、養殖銀ザケ、わかめ、養殖牡蛎,7282 
秋田県,秋田市,996,とんぶり、ジュンサイ、米、りんご、白神みょうが、白神長ネギ、秋田フキ、比内地鶏、とんぶり、ハタハタ、ギバサ（アカモク）、サラダ寒天,11638 
山形県,山形市,1102,桜桃、西洋梨（ラ・フランス）、たらの芽、なめこ、ブドウ、平田ねぎ、じんだん、もってのほか（食用菊）,9323 
福島県,福島市,1882,つるむらさき、桃、さやいんげん、きゅうり、タコ、さんま、あんぽ柿、馬肉,13784 
茨城県,水戸市,2892,干し芋、エシャロット、レンコン、栗、メロン、さつまいも、ゴボウ、米、ハマグリ、ワカサギ,6097 
栃木県,宇都宮市,1957,かんぴょう、大麦、いちご、クレソン、ウド、ニラ,6408 
群馬県,前橋市,1960,こんにゃく、花ニラ、ウド、きゅうり、キャベツ（嬬恋高原）、椎茸、ねぎ（下仁田ネギ）、国分ニンジン、陣田みょうが、花いんげん,6362 
千葉県,千葉市,7310,クワイ、小松菜、ネギ、ほうれん草、カブ、川越さつまいも、越谷ネギ,3798 
埼玉県,さいたま市,6246,落花生、カブ、里芋、ネギ,5158 
東京都,東京（新宿区）,13724,小松菜、水わさび、ウド、稲城の梨、キャベツ、カリフラワー、カジキ、鰹、トビウオ,2194 
神奈川県,横浜市,9159,大根、キャベツ、ほうれん草、温州みかん、キウイ、マグロ、ひじき菜、おかのり,2416 
新潟県,新潟市,2267,米、マイタケ、エリンギ、大根（雪太郎）、漬物用ナス、おけさ柿、切り餅、包装餅、かんずり（上越地方）,12584 
富山県,富山市,1056,黒部米、里芋、五箇山かぼちゃ、ぶり、さんま、かに、甘えび、白えび、ホタルえび、ゲンゲ,4248 
石川県,金沢市,1147,枯露柿、てんば菜、ぶり、いか、イワシ、サバ、甘えび、ゴリ料理,4186 
福井県,福井市,779,ラッキョウ（花ラッキョウ）、梅、かに（越前がに）、サバ、アマダイ（若狭ぐじ）、若狭がれい、若狭ふぐ、越前うに、甘えび、たらの子のかんづめ、粉わかめ、オーロラ印の味付たら,4191 
山梨県,甲府市,823,クレソン、桃、すもも、ブドウ、芽キャベツ、桜桃、甲州小梅、スイートコーン、なす、きゅうり、トマト、漬物、八幡芋,4465 
長野県,長野市,2076,えのきだけ、セロリー、レタス、リンゴ、干し柿、寒天,13562 
岐阜県,岐阜市,2008,赤カブ、カイワレダイコン、柿、栗、こんにゃく、山菜、トマト、みかん、美人姫（いちご）（奥田農園）、みょうが、鮎,10621 
静岡県,静岡市,3675,芽キャベツ、わさび、茶、三ヶ日みかん、ネギ、玉ねぎ、大根、ほうれん草、石垣イチゴ、鰹、マグロ、桜エビ、興津鯛、ゲホウ（沼津市）,7777 
愛知県,名古屋市,7525,食用花、フキ、シソ、キャベツ、ブロッコリー、鶏卵、ウズラ、アサリ、しらす、いかなご、かれい、ウナギ、海苔,5173 
三重県,津市,1800,茶、鰹、養殖マダイ、伊勢ヒジキ,5774 
滋賀県,大津市,1413,水口かんぴょう、カブ、小麦、草津メロン、子小鮎、赤こんにゃく（近江八幡市）,4017 
京都府,京都市,2599,京野菜,4612 
大阪府,大阪市,8823,,1905 
兵庫県,神戸市,5503,玉ねぎ、レタス、いかなご、養殖海苔、タコ、明石鯛,8401 
奈良県,奈良市,1348,柿、梅、エンドウ、吉野葛、祝ダイコン、大和肉鶏、吉野桜鮎,3691 
和歌山県,和歌山市,945,下津みかん、有田みかん、紀州南高梅、紀ノ川柿、じゃばら、うすいえんどう,4725 
鳥取県,鳥取市,565,砂丘らっきょう、花御所柿、二十世紀梨、すいか、かに、ブリ、アジ、出雲わかめ、十六島のり,3507 
島根県,松江市,685,津田カブ、雲州人参、秋鹿ごぼう、しじみ、アジ、ブリ、かに、十六島海苔,6708 
岡山県,岡山市,1907,マッシュルーム、トウガン、備前ダイコン、そうめん南瓜、ブドウ（マスカット）、柿、シャコ,7114 
広島県,広島市,2829,ワケギ、クワイ、マツタケ、ネーブルオレンジ、八朔、温州みかん、柿,8480 
山口県,山口市,1383,安平麩、レンコン、厚保栗、養殖鯛、養殖エビ、アジ、うに、ふぐ、おばいけ,6113 
徳島県,徳島県,743,白瓜、カリフラワー、大根、鳴門金時、レンコン、鳴門ワカメ,4147 
香川県,高松市,967,オリーブ、ニンニク、レタス,1877 
愛媛県,松山市,1364,温州みかん、イヨカン、キウイフルーツ、里芋、養殖鯛、養殖ブリ,5676 
高知県,高知市,714,生姜、黄金生姜、ニラ、なす、ピーマン、トマト、青海苔、鰹、マグロ、シイラ、ドロメ（シラス）,7104 
福岡県,福岡市,5107,博多なす、合馬筍、キウイフルーツ、イチゴ、アサリ、ムツゴロウ、ウナギ、海苔,4987 
佐賀県,佐賀市,824,大麦、小麦、玉ねぎ、アスパラガス、レンコン、佐賀海苔、あげまき,2441 
長崎県,長崎市,1354,豆乳（佐世保市）、びわ、白菜、なす、じゃがいも、アジ、鯛、ブリ、五島するめ,4131 
熊本県,熊本市,1765,夏みかん、すいか、トマト、熊本赤ナス、阿蘇高菜、シンデレラ太秋柿、天草牛、養殖マダイ、馬肉,7409 
大分県,大分市,1152,干し椎茸、かぼちゃ、ミツバ、セリ、唐辛子、ポンカン、養殖ブリ、関アジ、関サバ,6341 
宮崎県,宮崎市,1089,マンゴー、ピーマン、里芋、きゅうり、鶏肉、北浦灘アジ、門川スズキ,7735 
鹿児島県,鹿児島市,1626,さつまいも、オクラ、ソラマメ、デコポン、養殖ブリ、養殖ウナギ、養殖クルマエビ,9187 
沖縄県,那覇市,1443,コンビーフハッシュ、パイナップル、マンゴー、トウガン、ニガウリ、黒糖、足テビチ、コンビーフハッシュく,2281 
